"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison","New_representative_term","Description_str","count","GeneRatio","direction"
"1","GO:0006412","translation",184,-0.54112628505246,-2.61325382358308,9.05693813687387e-19,1.55779335954231e-16,1.16786833870216e-16,2209,"tags=49%, list=19%, signal=41%","AGAP007406/AGAP003119/AGAP004818/AGAP009971/AGAP007937/AGAP003532/AGAP011148/AGAP000857/AGAP010338/AGAP001937/AGAP009431/AGAP008915/AGAP009031/AGAP012284/AGAP000950/AGAP006607/AGAP002468/AGAP009204/AGAP000508/AGAP004887/AGAP003080/AGAP001910/AGAP005131/AGAP011706/AGAP012138/AGAP011896/AGAP009920/AGAP006612/AGAP001911/AGAP000883/AGAP006944/AGAP007927/AGAP007580/AGAP007740/AGAP005802/AGAP000654/AGAP005046/AGAP007172/AGAP028693/AGAP001459/AGAP009998/AGAP003538/AGAP011077/AGAP001408/AGAP010591/AGAP002948/AGAP010257/AGAP005991/AGAP001595/AGAP010592/AGAP010252/AGAP012990/AGAP012100/AGAP011146/AGAP011777/AGAP009508/AGAP002122/AGAP001274/AGAP010163/AGAP007087/AGAP010933/AGAP011687/AGAP000655/AGAP010216/AGAP001805/AGAP004422/AGAP009324/AGAP006871/AGAP002921/AGAP005947/AGAP011298/AGAP000541/AGAP011424/AGAP000952/AGAP013742/AGAP002306/AGAP002437/AGAP011802/AGAP011284/AGAP000953/AGAP011173/AGAP004919/AGAP002919/AGAP004235/AGAP006037/AGAP003768/AGAP005061/AGAP002754/AGAP010065/AGAP003556/AGAP008329","10_v_15_HKEC","Translation and RNA processing","translation",91,0.494565217391304,"Downregulated"
"2","GO:0007165","signal transduction",287,0.381751573870344,2.04994359751282,1.39050616851335e-10,1.59444707322865e-08,1.19534740802025e-08,3320,"tags=44%, list=29%, signal=32%","AGAP007548/AGAP011186/AGAP000126/AGAP001941/AGAP000574/AGAP012378/AGAP013516/AGAP009549/AGAP009727/AGAP009061/AGAP029605/AGAP008666/AGAP002411/AGAP008705/AGAP002695/AGAP029678/AGAP012445/AGAP001773/AGAP004769/AGAP001687/AGAP007136/AGAP012268/AGAP005055/AGAP013149/AGAP002493/AGAP002824/AGAP005126/AGAP012108/AGAP005776/AGAP009770/AGAP010089/AGAP029677/AGAP004554/AGAP029115/AGAP010782/AGAP004034/AGAP000243/AGAP008691/AGAP002415/AGAP029626/AGAP029465/AGAP010589/AGAP001990/AGAP006521/AGAP011360/AGAP003712/AGAP005034/AGAP004209/AGAP005495/AGAP002519/AGAP002888/AGAP001175/AGAP002226/AGAP029637/AGAP002560/AGAP004930/AGAP012982/AGAP002729/AGAP008646/AGAP001592/AGAP009115/AGAP009514/AGAP007987/AGAP009519/AGAP002972/AGAP005079/AGAP012581/AGAP008304/AGAP029122/AGAP006771/AGAP011187/AGAP029552/AGAP001498/AGAP009719/AGAP012985/AGAP010057/AGAP010604/AGAP007797/AGAP029498/AGAP012026/AGAP003863/AGAP008360/AGAP009341/AGAP003944/AGAP002886/AGAP001913/AGAP011349/AGAP002722/AGAP006908/AGAP004119/AGAP002272/AGAP004356/AGAP004039/AGAP002529/AGAP001915/AGAP002462/AGAP001936/AGAP005001/AGAP003577/AGAP008833/AGAP008588/AGAP004181/AGAP005773/AGAP007615/AGAP001173/AGAP004222/AGAP001162/AGAP005904/AGAP001962/AGAP005248/AGAP008702/AGAP005912/AGAP001170/AGAP002812/AGAP006570/AGAP006126/AGAP009953/AGAP001110/AGAP010281/AGAP005159/AGAP008224/AGAP010134/AGAP010423/AGAP008967/AGAP009999/AGAP009397","10_v_15_HKEC","Cell signaling","signal transduction",126,0.439024390243902,"Upregulated"
"3","GO:0006260","DNA replication",49,-0.650204725948019,-2.51146552745358,1.49024903090999e-09,9.32083030241882e-08,6.98777057555879e-08,1866,"tags=59%, list=16%, signal=50%","AGAP009047/AGAP004078/AGAP006065/AGAP001901/AGAP011132/AGAP001135/AGAP010018/AGAP002580/AGAP011246/AGAP008352/AGAP012743/AGAP003093/AGAP007775/AGAP001290/AGAP010220/AGAP010406/AGAP010198/AGAP004392/AGAP004957/AGAP004275/AGAP005800/AGAP007063/AGAP001929/AGAP000474/AGAP008332/AGAP010219/AGAP010835/AGAP004956/AGAP006387","10_v_15_HKEC","DNA replication and repair","DNA replication",29,0.591836734693878,"Downregulated"
"4","GO:0007186","G protein-coupled receptor signaling pathway",103,0.504688105849792,2.37691156247319,2.432881597413e-09,1.39485211585012e-07,1.04571226555471e-07,3234,"tags=57%, list=28%, signal=42%","AGAP007548/AGAP006216/AGAP012378/AGAP011452/AGAP029478/AGAP008302/AGAP001562/AGAP001773/AGAP007136/AGAP012268/AGAP013149/AGAP002824/AGAP009770/AGAP010089/AGAP002566/AGAP029115/AGAP011642/AGAP004272/AGAP004034/AGAP003718/AGAP011179/AGAP010589/AGAP006521/AGAP005034/AGAP008237/AGAP002519/AGAP002888/AGAP010793/AGAP001175/AGAP005229/AGAP004930/AGAP012982/AGAP001592/AGAP009514/AGAP005079/AGAP004829/AGAP012578/AGAP029122/AGAP001498/AGAP012985/AGAP029498/AGAP002886/AGAP000232/AGAP002462/AGAP008644/AGAP005001/AGAP005773/AGAP029236/AGAP009793/AGAP004222/AGAP001162/AGAP005904/AGAP001962/AGAP008702/AGAP006126/AGAP009953/AGAP008347/AGAP010281/AGAP029618","10_v_15_HKEC","Cell signaling","G protein-coupled receptor signaling pathway",59,0.572815533980582,"Upregulated"
"5","GO:0006270","DNA replication initiation",18,-0.818884639350077,-2.49834598374586,2.87368144776423e-08,1.31806189070786e-06,9.88143094318929e-07,1490,"tags=89%, list=13%, signal=78%","AGAP001901/AGAP001135/AGAP012691/AGAP002580/AGAP011246/AGAP005176/AGAP002581/AGAP011961/AGAP010406/AGAP004392/AGAP004957/AGAP004275/AGAP005800/AGAP007063/AGAP010219/AGAP004956","10_v_15_HKEC","DNA replication and repair","DNA replication initiation",16,0.888888888888889,"Downregulated"
"6","GO:0015986","proton motive force-driven ATP synthesis",18,-0.812283406586891,-2.47820619534445,5.08464746823452e-08,2.08165976725805e-06,1.56060784265062e-06,1170,"tags=78%, list=10%, signal=70%","AGAP009564/AGAP009491/AGAP003599/AGAP004616/AGAP006879/AGAP000260/AGAP007841/AGAP001138/AGAP011131/AGAP007966/AGAP005134/AGAP000523/AGAP012106/AGAP029205","10_v_15_HKEC","Metabolism and mitochondrial function","proton motive force-driven ATP synthesis",14,0.777777777777778,"Downregulated"
"7","GO:0055085","transmembrane transport",314,0.327069992190301,1.78422794709331,1.03299931906969e-07,3.74054490273658e-06,2.80426407946898e-06,2328,"tags=34%, list=20%, signal=28%","AGAP002278/AGAP009835/AGAP001775/AGAP002826/AGAP004402/AGAP007504/AGAP007055/AGAP009468/AGAP004603/AGAP000046/AGAP006718/AGAP001557/AGAP012218/AGAP001550/AGAP009467/AGAP029297/AGAP010043/AGAP003494/AGAP004199/AGAP009745/AGAP006379/AGAP003221/AGAP001202/AGAP008437/AGAP010857/AGAP004309/AGAP007917/AGAP012735/AGAP006380/AGAP011982/AGAP012155/AGAP008889/AGAP008718/AGAP001011/AGAP012643/AGAP003680/AGAP003176/AGAP007743/AGAP012628/AGAP010892/AGAP002638/AGAP013073/AGAP013770/AGAP013463/AGAP007499/AGAP027980/AGAP005317/AGAP010416/AGAP005639/AGAP002094/AGAP009523/AGAP003274/AGAP029535/AGAP004476/AGAP012467/AGAP009471/AGAP011459/AGAP001477/AGAP003495/AGAP011426/AGAP000440/AGAP008387/AGAP009446/AGAP011113/AGAP011492/AGAP002719/AGAP002071/AGAP007992/AGAP003709/AGAP003275/AGAP007713/AGAP009464/AGAP002571/AGAP008359/AGAP029451/AGAP029686/AGAP009463/AGAP003536/AGAP010042/AGAP005251/AGAP007601/AGAP029523/AGAP002505/AGAP029591/AGAP009472/AGAP000506/AGAP008335/AGAP011308/AGAP004510/AGAP010943/AGAP006346/AGAP005777/AGAP008435/AGAP010249/AGAP000795/AGAP010854/AGAP028128/AGAP010863/AGAP029048/AGAP001870/AGAP007086/AGAP004107/AGAP010855/AGAP001265/AGAP010567/AGAP002366","10_v_15_HKEC","Molecule transport","transmembrane transport",106,0.337579617834395,"Upregulated"
"8","GO:0016192","vesicle-mediated transport",87,0.487405708747251,2.23067999869825,6.06511710760402e-07,1.89672753183253e-05,1.42196525489281e-05,2256,"tags=45%, list=20%, signal=36%","AGAP003023/AGAP007522/AGAP000161/AGAP003203/AGAP011568/AGAP002076/AGAP007698/AGAP002498/AGAP000700/AGAP011374/AGAP007578/AGAP000983/AGAP008650/AGAP001733/AGAP004798/AGAP001399/AGAP010519/AGAP002931/AGAP012891/AGAP010251/AGAP005042/AGAP009291/AGAP029572/AGAP001759/AGAP001800/AGAP009322/AGAP004583/AGAP002665/AGAP004581/AGAP000009/AGAP003035/AGAP004582/AGAP002357/AGAP010025/AGAP012474/AGAP001267/AGAP003980/AGAP000363/AGAP007721","10_v_15_HKEC","Molecule transport","vesicle-mediated transport",39,0.448275862068966,"Upregulated"
"9","GO:0006099","tricarboxylic acid cycle",20,-0.76373078883528,-2.37563114951954,8.16102691164122e-07,2.44121152835181e-05,1.83016164151222e-05,2058,"tags=80%, list=18%, signal=66%","AGAP004055/AGAP007258/AGAP009510/AGAP012191/AGAP006366/AGAP000551/AGAP004352/AGAP006660/AGAP007309/AGAP000618/AGAP010672/AGAP002192/AGAP002728/AGAP007786/AGAP001312/AGAP007852","10_v_15_HKEC","Metabolism and mitochondrial function","tricarboxylic acid cycle",16,0.8,"Downregulated"
"10","GO:0002181","cytoplasmic translation",22,-0.700595070857629,-2.23732799219168,5.42055482128457e-06,0.00013812376729791,0.00010355055993877,2191,"tags=77%, list=19%, signal=63%","AGAP003592/AGAP003974/AGAP002468/AGAP011896/AGAP006612/AGAP001911/AGAP003063/AGAP007740/AGAP005802/AGAP005046/AGAP001459/AGAP012100/AGAP011777/AGAP009508/AGAP002921/AGAP004919/AGAP002754","10_v_15_HKEC","Translation and RNA processing","cytoplasmic translation",17,0.772727272727273,"Downregulated"
