"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison","New_representative_term","Description_str","count","GeneRatio","direction"
"1","GO:1902600","proton transmembrane transport",75,-0.745193240170123,-2.64897884230031,2.98413424259891e-16,2.56262528083181e-14,1.37427234856529e-14,1504,"tags=53%, list=13%, signal=47%","AGAP009334/AGAP001587/AGAP011680/AGAP001027/AGAP000721/AGAP004867/AGAP003492/AGAP010383/AGAP005845/AGAP001588/AGAP007755/AGAP003325/AGAP003879/AGAP002884/AGAP028366/AGAP010298/AGAP003588/AGAP003153/AGAP001823/AGAP002858/AGAP028364/AGAP012081/AGAP002401/AGAP028371/AGAP009486/AGAP028154/AGAP002473/AGAP000109/AGAP009526/AGAP007768/AGAP006186/AGAP000851/AGAP007621/AGAP012106/AGAP011159/AGAP005134/AGAP004400/AGAP008727/AGAP029205/AGAP000523","1_v_15_Naive","Molecule transport","proton transmembrane transport",40,0.533333333333333,"Downregulated"
"2","GO:0006811","monoatomic ion transport",149,-0.616312071808937,-2.39200618263237,3.2380783947037e-15,2.02232714287404e-13,1.08452386425483e-13,2647,"tags=49%, list=23%, signal=38%","AGAP003921/AGAP007818/AGAP001913/AGAP029806/AGAP006347/AGAP000038/AGAP002577/AGAP006028/AGAP007707/AGAP028032/AGAP008201/AGAP004720/AGAP010169/AGAP008588/AGAP000079/AGAP006115/AGAP002972/AGAP010694/AGAP000329/AGAP029634/AGAP010042/AGAP012818/AGAP028369/AGAP029241/AGAP011169/AGAP002891/AGAP009334/AGAP029048/AGAP010146/AGAP011499/AGAP001587/AGAP001478/AGAP000254/AGAP002150/AGAP004519/AGAP010057/AGAP000966/AGAP003709/AGAP010269/AGAP002224/AGAP000721/AGAP001476/AGAP004867/AGAP010205/AGAP012434/AGAP005845/AGAP004510/AGAP001588/AGAP002797/AGAP028574/AGAP010580/AGAP012447/AGAP002884/AGAP029596/AGAP028370/AGAP003588/AGAP003153/AGAP001823/AGAP002858/AGAP012433/AGAP009486/AGAP011291/AGAP028154/AGAP002473/AGAP010295/AGAP007119/AGAP006186/AGAP009491/AGAP011131/AGAP004616/AGAP007966/AGAP005134/AGAP000523","1_v_15_Naive","Molecule transport","monoatomic ion transport",73,0.48993288590604,"Downregulated"
"3","GO:0006281","DNA repair",79,0.650267286539485,2.77136151064472,1.78493881352488e-14,1.021877470743e-12,5.48007530468166e-13,3407,"tags=78%, list=30%, signal=56%","AGAP002805/AGAP008939/AGAP005035/AGAP002967/AGAP011110/AGAP001404/AGAP007032/AGAP004082/AGAP012174/AGAP009607/AGAP012335/AGAP001290/AGAP008194/AGAP002472/AGAP005052/AGAP008426/AGAP002985/AGAP007217/AGAP003676/AGAP010060/AGAP003093/AGAP005917/AGAP007582/AGAP002522/AGAP013386/AGAP001158/AGAP000169/AGAP013180/AGAP009746/AGAP010984/AGAP002388/AGAP011623/AGAP009222/AGAP008332/AGAP013412/AGAP007775/AGAP002669/AGAP001255/AGAP001154/AGAP002302/AGAP010787/AGAP029706/AGAP011448/AGAP005939/AGAP006734/AGAP011769/AGAP002259/AGAP003791/AGAP003157/AGAP003967/AGAP009296/AGAP004029/AGAP029562/AGAP008673/AGAP004491/AGAP001421/AGAP005461/AGAP001854/AGAP012880/AGAP006164/AGAP010577/AGAP000634","1_v_15_Naive","DNA replication and repair","DNA repair",62,0.784810126582278,"Upregulated"
"4","GO:0015986","proton motive force-driven ATP synthesis",18,-0.93542636879013,-2.49173905482334,3.19031345205233e-13,1.68595795504612e-11,9.04137415561391e-12,591,"tags=89%, list=5%, signal=84%","AGAP028370/AGAP012081/AGAP000260/AGAP009491/AGAP006879/AGAP009564/AGAP011131/AGAP001138/AGAP003599/AGAP012106/AGAP004616/AGAP007841/AGAP007966/AGAP005134/AGAP029205/AGAP000523","1_v_15_Naive","Metabolism and mitochondrial function","proton motive force-driven ATP synthesis",16,0.888888888888889,"Downregulated"
"5","GO:0006364","rRNA processing",48,0.686028322148988,2.67756166984732,5.28150210817682e-11,2.41892796554498e-09,1.29721104411361e-09,1930,"tags=62%, list=17%, signal=52%","AGAP007112/AGAP002333/AGAP003992/AGAP002684/AGAP009808/AGAP011383/AGAP003294/AGAP003002/AGAP003041/AGAP005320/AGAP006438/AGAP003632/AGAP001656/AGAP006469/AGAP011327/AGAP000479/AGAP007511/AGAP008882/AGAP007244/AGAP010702/AGAP000270/AGAP002088/AGAP002923/AGAP004557/AGAP007388/AGAP007128/AGAP005221/AGAP001057/AGAP005130/AGAP006372","1_v_15_Naive","Translation and RNA processing","rRNA processing",30,0.625,"Upregulated"
"6","GO:0006030","chitin metabolic process",63,-0.697401199583098,-2.41136791046132,9.26033354891009e-11,3.74226420476543e-09,2.00688343165234e-09,963,"tags=32%, list=8%, signal=29%","AGAP009022/AGAP000468/AGAP000989/AGAP001203/AGAP003751/AGAP010302/AGAP002909/AGAP009480/AGAP009405/AGAP009790/AGAP028105/AGAP000986/AGAP000198/AGAP000988/AGAP028605/AGAP006898/AGAP011936/AGAP008512/AGAP000359/AGAP003308","1_v_15_Naive","Metabolism and mitochondrial function","chitin metabolic process",20,0.317460317460317,"Downregulated"
"7","GO:0055085","transmembrane transport",313,-0.462810372114497,-1.91075612322212,4.92088350000738e-10,1.53665771113867e-08,8.24071399522768e-09,2676,"tags=40%, list=23%, signal=31%","AGAP010794/AGAP009472/AGAP001531/AGAP004350/AGAP003921/AGAP005600/AGAP001635/AGAP012302/AGAP012955/AGAP010975/AGAP008720/AGAP004603/AGAP006347/AGAP005530/AGAP008889/AGAP001550/AGAP006273/AGAP002577/AGAP010509/AGAP008387/AGAP008201/AGAP009467/AGAP003680/AGAP001236/AGAP001265/AGAP008842/AGAP008843/AGAP003303/AGAP010567/AGAP003221/AGAP002369/AGAP029634/AGAP001782/AGAP011839/AGAP002366/AGAP029451/AGAP010042/AGAP002717/AGAP012382/AGAP010857/AGAP012383/AGAP029241/AGAP011492/AGAP012507/AGAP010621/AGAP002891/AGAP012419/AGAP000097/AGAP010326/AGAP028128/AGAP006349/AGAP029593/AGAP029521/AGAP001202/AGAP011279/AGAP029048/AGAP001965/AGAP001777/AGAP008335/AGAP011499/AGAP006104/AGAP004636/AGAP001336/AGAP011680/AGAP007367/AGAP000254/AGAP005113/AGAP002150/AGAP013218/AGAP010865/AGAP004519/AGAP001027/AGAP009466/AGAP004476/AGAP006364/AGAP000494/AGAP003709/AGAP010269/AGAP005317/AGAP001476/AGAP003492/AGAP010372/AGAP010854/AGAP010481/AGAP012434/AGAP010383/AGAP002060/AGAP004510/AGAP004562/AGAP004518/AGAP007755/AGAP010344/AGAP007732/AGAP028574/AGAP028491/AGAP028613/AGAP000958/AGAP004309/AGAP002051/AGAP010298/AGAP008711/AGAP009471/AGAP003588/AGAP003205/AGAP007754/AGAP010878/AGAP010860/AGAP002050/AGAP012433/AGAP012381/AGAP003208/AGAP028371/AGAP009443/AGAP006782/AGAP002859/AGAP000493/AGAP010562/AGAP006594/AGAP009768/AGAP010295/AGAP010293/AGAP007119/AGAP009833/AGAP002358","1_v_15_Naive","Molecule transport","transmembrane transport",124,0.396166134185303,"Downregulated"
"8","GO:0005975","carbohydrate metabolic process",121,-0.575824467510857,-2.18861694150819,8.2980373963015e-10,2.32479981147717e-08,1.24673245080366e-08,2520,"tags=45%, list=22%, signal=36%","AGAP002317/AGAP006423/AGAP000022/AGAP006424/AGAP000481/AGAP010371/AGAP012261/AGAP012400/AGAP009039/AGAP002055/AGAP006425/AGAP010056/AGAP001367/AGAP006426/AGAP009510/AGAP004376/AGAP004456/AGAP010866/AGAP008547/AGAP005721/AGAP011859/AGAP008061/AGAP007215/AGAP000220/AGAP012399/AGAP008584/AGAP012230/AGAP003464/AGAP009022/AGAP000053/AGAP028204/AGAP012453/AGAP008582/AGAP012401/AGAP003993/AGAP002056/AGAP002102/AGAP029633/AGAP006778/AGAP004451/AGAP010428/AGAP011800/AGAP007939/AGAP005860/AGAP009621/AGAP005956/AGAP009173/AGAP000198/AGAP006898/AGAP011936/AGAP001903/AGAP008512/AGAP000359/AGAP007593/AGAP012048","1_v_15_Naive","Metabolism and mitochondrial function","carbohydrate metabolic process",55,0.454545454545455,"Downregulated"
"9","GO:0022900","electron transport chain",37,-0.773281316626687,-2.44810465000902,1.04364756628533e-09,2.75763799245392e-08,1.4788528267201e-08,829,"tags=46%, list=7%, signal=43%","AGAP003325/AGAP028366/AGAP028364/AGAP000109/AGAP008955/AGAP009526/AGAP004653/AGAP007082/AGAP010337/AGAP007768/AGAP012374/AGAP008653/AGAP011629/AGAP010429/AGAP004400/AGAP008727/AGAP006936","1_v_15_Naive","Metabolism and mitochondrial function","electron transport chain",17,0.459459459459459,"Downregulated"
"10","GO:0000398","mRNA splicing, via spliceosome",70,0.558543742024205,2.34741293860711,1.76101289655523e-08,3.55828194098071e-07,1.90821830896077e-07,3406,"tags=60%, list=30%, signal=43%","AGAP008263/AGAP012369/AGAP011249/AGAP003085/AGAP001519/AGAP001643/AGAP000049/AGAP001538/AGAP002144/AGAP006604/AGAP009075/AGAP005640/AGAP007217/AGAP006885/AGAP012142/AGAP009570/AGAP008528/AGAP010656/AGAP002956/AGAP006266/AGAP007874/AGAP006755/AGAP006805/AGAP006240/AGAP001879/AGAP010440/AGAP007670/AGAP002706/AGAP004028/AGAP005136/AGAP004776/AGAP010194/AGAP009687/AGAP002895/AGAP007825/AGAP001195/AGAP001584/AGAP005296/AGAP005391/AGAP010932/AGAP004682/AGAP011637","1_v_15_Naive","Translation and RNA processing","mRNA splicing, via spliceosome",42,0.6,"Upregulated"
