"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison","New_representative_term","Description_str","count","GeneRatio","direction"
"1","GO:0007165","signal transduction",287,0.35925203036082,1.99483624035034,1.08865614496931e-10,1.24832571289814e-08,7.71608916785264e-09,3950,"tags=54%, list=34%, signal=36%","AGAP001173/AGAP005126/AGAP003076/AGAP002152/AGAP000038/AGAP006771/AGAP029626/AGAP010281/AGAP007548/AGAP028730/AGAP009115/AGAP008588/AGAP007307/AGAP002415/AGAP013027/AGAP004209/AGAP002229/AGAP000243/AGAP002226/AGAP011186/AGAP007615/AGAP012378/AGAP001990/AGAP005773/AGAP003944/AGAP002411/AGAP002529/AGAP006590/AGAP005289/AGAP029677/AGAP029166/AGAP004355/AGAP012387/AGAP010057/AGAP029552/AGAP008646/AGAP002886/AGAP008834/AGAP000606/AGAP001175/AGAP005034/AGAP002272/AGAP012268/AGAP000329/AGAP009514/AGAP011187/AGAP002888/AGAP004354/AGAP011349/AGAP012445/AGAP004356/AGAP010694/AGAP005055/AGAP002125/AGAP007136/AGAP002560/AGAP029678/AGAP006521/AGAP005495/AGAP008691/AGAP003712/AGAP001170/AGAP000966/AGAP002695/AGAP012161/AGAP029605/AGAP006028/AGAP029122/AGAP005248/AGAP007987/AGAP029637/AGAP012975/AGAP002972/AGAP008967/AGAP001592/AGAP003631/AGAP009549/AGAP001687/AGAP008224/AGAP001498/AGAP011360/AGAP006908/AGAP005302/AGAP005002/AGAP000519/AGAP029498/AGAP029465/AGAP012076/AGAP010851/AGAP006974/AGAP002493/AGAP008705/AGAP010604/AGAP009519/AGAP005159/AGAP010486/AGAP003098/AGAP004123/AGAP010589/AGAP007369/AGAP000859/AGAP000342/AGAP007177/AGAP000126/AGAP010782/AGAP001962/AGAP009727/AGAP003863/AGAP004222/AGAP001773/AGAP001902/AGAP012026/AGAP002519/AGAP001936/AGAP000236/AGAP011481/AGAP002824/AGAP009061/AGAP009396/AGAP001161/AGAP006666/AGAP003654/AGAP010600/AGAP001726/AGAP008360/AGAP002729/AGAP010605/AGAP006025/AGAP011813/AGAP001941/AGAP001913/AGAP012590/AGAP004034/AGAP009398/AGAP004769/AGAP002639/AGAP009953/AGAP009261/AGAP010423/AGAP004675/AGAP004555/AGAP006877/AGAP001915/AGAP029487/AGAP004727/AGAP001561/AGAP000230/AGAP007866/AGAP004453/AGAP009520/AGAP002537/AGAP012985/AGAP003658/AGAP009999/AGAP005911","27_v_32_HKEC","Cell signaling","signal transduction",155,0.54006968641115,"Upregulated"
"2","GO:0006260","DNA replication",49,-0.675917029149762,-2.51086851566426,3.02085756699637e-10,2.30927778454834e-08,1.4273993649901e-08,1889,"tags=65%, list=16%, signal=55%","AGAP004956/AGAP011246/AGAP001166/AGAP006065/AGAP001290/AGAP008332/AGAP008352/AGAP010177/AGAP011132/AGAP010018/AGAP007775/AGAP006387/AGAP007477/AGAP001135/AGAP010406/AGAP012743/AGAP002580/AGAP004392/AGAP003093/AGAP004957/AGAP005144/AGAP009047/AGAP000474/AGAP001901/AGAP005800/AGAP002967/AGAP010219/AGAP010835/AGAP010220/AGAP010198/AGAP004275/AGAP009222","27_v_32_HKEC","DNA replication and repair","DNA replication",32,0.653061224489796,"Downregulated"
"3","GO:0042254","ribosome biogenesis",32,-0.742716496081016,-2.54309920175459,1.76241900091746e-09,1.10231297511928e-07,6.81356245330769e-08,1834,"tags=69%, list=16%, signal=58%","AGAP012204/AGAP005871/AGAP007644/AGAP007882/AGAP003002/AGAP005149/AGAP007112/AGAP001529/AGAP009438/AGAP001872/AGAP010498/AGAP007244/AGAP000270/AGAP006205/AGAP007912/AGAP001380/AGAP008163/AGAP002330/AGAP005438/AGAP008882/AGAP006808/AGAP007128","27_v_32_HKEC","Translation and RNA processing","ribosome biogenesis",22,0.6875,"Downregulated"
"4","GO:0006811","monoatomic ion transport",149,0.430556029135712,2.20938773712168,7.0440650906665e-09,3.72793598644504e-07,2.30429335759455e-07,2367,"tags=42%, list=21%, signal=34%","AGAP008378/AGAP001477/AGAP002797/AGAP010249/AGAP009616/AGAP012429/AGAP002152/AGAP000038/AGAP004896/AGAP012447/AGAP002505/AGAP006115/AGAP011459/AGAP007945/AGAP002719/AGAP005251/AGAP000361/AGAP029671/AGAP000079/AGAP008588/AGAP003921/AGAP009446/AGAP007818/AGAP008202/AGAP003711/AGAP001990/AGAP003709/AGAP001478/AGAP010272/AGAP007086/AGAP008201/AGAP028611/AGAP001557/AGAP003274/AGAP009736/AGAP029672/AGAP004474/AGAP010057/AGAP002466/AGAP000329/AGAP002577/AGAP011349/AGAP002150/AGAP010694/AGAP006027/AGAP000966/AGAP002224/AGAP006028/AGAP006186/AGAP000413/AGAP029048/AGAP006637/AGAP008559/AGAP029712/AGAP029523/AGAP012975/AGAP002972/AGAP009590/AGAP029240/AGAP008435/AGAP011924/AGAP029634/AGAP010146","27_v_32_HKEC","Molecule transport","monoatomic ion transport",63,0.422818791946309,"Upregulated"
"5","GO:0007186","G protein-coupled receptor signaling pathway",103,0.472693547633166,2.28916772858955,2.1404340581416e-08,8.18121462223011e-07,5.05693192683746e-07,4084,"tags=66%, list=35%, signal=43%","AGAP003076/AGAP001562/AGAP010281/AGAP007548/AGAP011179/AGAP003718/AGAP002229/AGAP006215/AGAP012378/AGAP005773/AGAP009793/AGAP002886/AGAP000606/AGAP005229/AGAP001175/AGAP005034/AGAP012268/AGAP009514/AGAP029236/AGAP002888/AGAP007136/AGAP008302/AGAP006521/AGAP004272/AGAP006216/AGAP029122/AGAP011452/AGAP008644/AGAP029618/AGAP001592/AGAP003631/AGAP001100/AGAP001498/AGAP005002/AGAP012578/AGAP029498/AGAP010851/AGAP000232/AGAP010486/AGAP004123/AGAP010589/AGAP001962/AGAP000351/AGAP011642/AGAP004222/AGAP001773/AGAP002519/AGAP012225/AGAP011481/AGAP002824/AGAP008237/AGAP001161/AGAP003654/AGAP029802/AGAP003972/AGAP004034/AGAP029478/AGAP009953/AGAP012698/AGAP004675/AGAP001561/AGAP002566/AGAP004453/AGAP012985/AGAP003658/AGAP029115/AGAP004223/AGAP001862","27_v_32_HKEC","Cell signaling","G protein-coupled receptor signaling pathway",68,0.660194174757282,"Upregulated"
"6","GO:0032259","methylation",49,-0.618018692676793,-2.29579017928593,1.64880674674259e-07,5.15626837163137e-06,3.18716710853591e-06,2997,"tags=61%, list=26%, signal=45%","AGAP003974/AGAP004177/AGAP006938/AGAP008768/AGAP001310/AGAP008537/AGAP029486/AGAP010488/AGAP008978/AGAP029689/AGAP002469/AGAP012408/AGAP029587/AGAP008846/AGAP008404/AGAP002198/AGAP003002/AGAP002384/AGAP003966/AGAP003923/AGAP012481/AGAP003593/AGAP009458/AGAP011327/AGAP004752/AGAP009740/AGAP009048/AGAP003462/AGAP005221/AGAP002504","27_v_32_HKEC","DNA replication and repair","methylation",30,0.612244897959184,"Downregulated"
"7","GO:0050808","synapse organization",26,0.709435002635376,2.52211623082801,3.09934415643795e-07,9.2710816505622e-06,5.73059514508435e-06,2680,"tags=88%, list=23%, signal=68%","AGAP001242/AGAP001201/AGAP001239/AGAP002135/AGAP002707/AGAP006350/AGAP012354/AGAP011195/AGAP002628/AGAP002494/AGAP009242/AGAP029644/AGAP005068/AGAP005069/AGAP009245/AGAP012441/AGAP002325/AGAP008734/AGAP002708/AGAP005794/AGAP029494/AGAP007759/AGAP029191","27_v_32_HKEC","Synaptic activity","synapse organization",23,0.884615384615385,"Upregulated"
"8","GO:0007268","chemical synaptic transmission",46,0.588136683134976,2.43100728619923,4.29667564656588e-07,1.18244513793493e-05,7.30887141563207e-06,2095,"tags=59%, list=18%, signal=48%","AGAP003570/AGAP002152/AGAP000038/AGAP000449/AGAP000209/AGAP003568/AGAP006956/AGAP008588/AGAP011916/AGAP002229/AGAP001990/AGAP001478/AGAP002090/AGAP010057/AGAP002369/AGAP000329/AGAP008190/AGAP008028/AGAP002577/AGAP011349/AGAP010694/AGAP007136/AGAP000966/AGAP006028/AGAP029048/AGAP012975/AGAP002972","27_v_32_HKEC","Synaptic activity","chemical synaptic transmission",27,0.58695652173913,"Upregulated"
"9","GO:0006606","protein import into nucleus",33,-0.654850289496936,-2.2512201042556,1.44550614205853e-06,3.4293387094354e-05,2.11972588526913e-05,2081,"tags=61%, list=18%, signal=50%","AGAP000025/AGAP007024/AGAP002426/AGAP003576/AGAP007299/AGAP003459/AGAP001179/AGAP010711/AGAP010978/AGAP001685/AGAP008970/AGAP009800/AGAP011156/AGAP009921/AGAP001273/AGAP009792/AGAP007999/AGAP007699/AGAP012362/AGAP010051","27_v_32_HKEC","Molecule transport","protein import into nucleus",20,0.606060606060606,"Downregulated"
"10","GO:0006270","DNA replication initiation",18,-0.750558846706111,-2.22707152806347,5.44976687146293e-06,0.00011027763551666,6.81642667514249e-05,1889,"tags=83%, list=16%, signal=70%","AGAP004956/AGAP011246/AGAP002581/AGAP012691/AGAP001135/AGAP010406/AGAP005176/AGAP002580/AGAP004392/AGAP004957/AGAP011961/AGAP001901/AGAP005800/AGAP010219/AGAP004275","27_v_32_HKEC","DNA replication and repair","DNA replication initiation",15,0.833333333333333,"Downregulated"
