"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison","New_representative_term","Description_str","count","GeneRatio","direction"
"1","GO:0007165","signal transduction",286,0.342363822936128,1.91941291139136,1.22329675366544e-08,1.2185618006893e-06,9.3541632137492e-07,3294,"tags=42%, list=29%, signal=30%","AGAP001173/AGAP005126/AGAP001175/AGAP000038/AGAP005289/AGAP007548/AGAP005055/AGAP002152/AGAP010281/AGAP011186/AGAP011187/AGAP005034/AGAP000243/AGAP003076/AGAP008691/AGAP012268/AGAP002888/AGAP007615/AGAP029677/AGAP012161/AGAP002529/AGAP009115/AGAP008224/AGAP007307/AGAP000606/AGAP008834/AGAP029626/AGAP008646/AGAP004209/AGAP005248/AGAP012387/AGAP002125/AGAP002886/AGAP028730/AGAP002695/AGAP001990/AGAP008588/AGAP010604/AGAP000329/AGAP002560/AGAP010057/AGAP001902/AGAP002229/AGAP003712/AGAP002272/AGAP002972/AGAP006771/AGAP009514/AGAP006590/AGAP005773/AGAP005302/AGAP000966/AGAP029678/AGAP000859/AGAP011349/AGAP008705/AGAP002415/AGAP007369/AGAP004675/AGAP029465/AGAP001962/AGAP002411/AGAP029122/AGAP002444/AGAP029166/AGAP002226/AGAP004355/AGAP001498/AGAP000519/AGAP029605/AGAP001592/AGAP008304/AGAP001773/AGAP012076/AGAP002493/AGAP009549/AGAP003944/AGAP001170/AGAP012590/AGAP008967/AGAP006167/AGAP029552/AGAP005002/AGAP000126/AGAP003098/AGAP003631/AGAP010605/AGAP006974/AGAP006399/AGAP001162/AGAP010782/AGAP010694/AGAP000236/AGAP004222/AGAP006028/AGAP007987/AGAP012378/AGAP009261/AGAP002537/AGAP009397/AGAP002519/AGAP004123/AGAP007136/AGAP005912/AGAP010589/AGAP008833/AGAP029637/AGAP000342/AGAP000574/AGAP002722/AGAP004354/AGAP006521/AGAP012026/AGAP003244/AGAP010851/AGAP002729/AGAP011360/AGAP002824/AGAP003863","27_v_32_Naive","Cell signaling","signal transduction",119,0.416083916083916,"Upregulated"
"2","GO:0006508","proteolysis",431,-0.349257229878681,-1.78421756220109,1.38040413276872e-08,1.2185618006893e-06,9.3541632137492e-07,1308,"tags=32%, list=11%, signal=29%","AGAP002811/AGAP003929/AGAP012069/AGAP004470/AGAP006964/AGAP008292/AGAP005423/AGAP003689/AGAP009006/AGAP003627/AGAP028598/AGAP011654/AGAP004318/AGAP008370/AGAP029119/AGAP005065/AGAP006385/AGAP003702/AGAP011444/AGAP003626/AGAP008371/AGAP006160/AGAP005310/AGAP004860/AGAP007795/AGAP013146/AGAP011098/AGAP012577/AGAP028641/AGAP011790/AGAP012034/AGAP002606/AGAP011914/AGAP007728/AGAP013078/AGAP007398/AGAP011783/AGAP006709/AGAP004531/AGAP007165/AGAP002720/AGAP011780/AGAP001964/AGAP008838/AGAP011819/AGAP011828/AGAP001264/AGAP006710/AGAP008403/AGAP011442/AGAP013252/AGAP000571/AGAP006711/AGAP029067/AGAP000666/AGAP004870/AGAP005914/AGAP004639/AGAP013393/AGAP001697/AGAP011792/AGAP001199/AGAP004148/AGAP009507/AGAP009215/AGAP012984/AGAP008296/AGAP002957/AGAP029692/AGAP002508/AGAP003252/AGAP000621/AGAP009907/AGAP003057/AGAP011653/AGAP003249/AGAP008294/AGAP013221/AGAP029106/AGAP029126/AGAP011786/AGAP000290/AGAP007809/AGAP004317/AGAP010351/AGAP004719/AGAP008372/AGAP004638/AGAP000513/AGAP001037/AGAP004855/AGAP029108/AGAP000315/AGAP008176/AGAP003422/AGAP010764/AGAP010730/AGAP008295/AGAP011781/AGAP000572/AGAP008345/AGAP012113/AGAP010243/AGAP009751/AGAP003869/AGAP029794/AGAP010731/AGAP007505/AGAP011788/AGAP011791/AGAP004563/AGAP012946/AGAP028725/AGAP003960/AGAP003691/AGAP010545/AGAP002270/AGAP003251/AGAP001341/AGAP003250/AGAP009251/AGAP005728/AGAP007043/AGAP011789/AGAP003700/AGAP010530/AGAP004700/AGAP003246/AGAP029769/AGAP009252/AGAP000573/AGAP029749/AGAP010968/AGAP029770/AGAP010415/AGAP028728","27_v_32_Naive","Protein processing","proteolysis",136,0.31554524361949,"Downregulated"
"3","GO:0042254","ribosome biogenesis",32,-0.670759505539859,-2.26341464474178,9.58307720090473e-07,4.38904935801437e-05,3.3692081948444e-05,2906,"tags=75%, list=25%, signal=56%","AGAP003592/AGAP009324/AGAP010498/AGAP005960/AGAP000270/AGAP003002/AGAP007882/AGAP005871/AGAP008882/AGAP007112/AGAP005149/AGAP007244/AGAP009438/AGAP002330/AGAP007644/AGAP001529/AGAP008163/AGAP001380/AGAP007912/AGAP005438/AGAP001872/AGAP006205/AGAP006808/AGAP007128","27_v_32_Naive","Translation and RNA processing","ribosome biogenesis",24,0.75,"Downregulated"
"4","GO:0050808","synapse organization",26,0.666214030540537,2.32202023631455,2.02977061977565e-06,7.74695786547708e-05,5.94687181583394e-05,2684,"tags=77%, list=23%, signal=59%","AGAP001242/AGAP001239/AGAP002707/AGAP002135/AGAP009245/AGAP009242/AGAP002494/AGAP005068/AGAP002628/AGAP001201/AGAP011195/AGAP002325/AGAP008734/AGAP012354/AGAP006350/AGAP005069/AGAP029644/AGAP010422/AGAP012441/AGAP002708","27_v_32_Naive","Synaptic activity","synapse organization",20,0.769230769230769,"Upregulated"
"5","GO:0006260","DNA replication",49,-0.582457400171664,-2.16513893754234,1.93946851977032e-06,7.74695786547708e-05,5.94687181583394e-05,3090,"tags=65%, list=27%, signal=48%","AGAP007063/AGAP001290/AGAP002477/AGAP007477/AGAP008332/AGAP011246/AGAP010018/AGAP012743/AGAP002967/AGAP006387/AGAP008352/AGAP010406/AGAP001135/AGAP007775/AGAP004275/AGAP002580/AGAP011132/AGAP000474/AGAP001166/AGAP004392/AGAP009047/AGAP004957/AGAP003093/AGAP010198/AGAP001901/AGAP010219/AGAP005144/AGAP010835/AGAP010177/AGAP005800/AGAP010220/AGAP009222","27_v_32_Naive","DNA replication and repair","DNA replication",32,0.653061224489796,"Downregulated"
"6","GO:0007186","G protein-coupled receptor signaling pathway",104,0.431052226427196,2.06154400814947,2.16756742607373e-06,7.83746748269817e-05,6.01635058428221e-05,3924,"tags=58%, list=34%, signal=38%","AGAP001175/AGAP007548/AGAP010281/AGAP003718/AGAP005034/AGAP003076/AGAP012268/AGAP002888/AGAP001562/AGAP006215/AGAP000606/AGAP002886/AGAP004272/AGAP009793/AGAP002229/AGAP009514/AGAP005773/AGAP008302/AGAP000232/AGAP004675/AGAP012225/AGAP001962/AGAP029236/AGAP003972/AGAP029122/AGAP002444/AGAP001498/AGAP001592/AGAP005229/AGAP001773/AGAP011452/AGAP001862/AGAP005002/AGAP008644/AGAP011642/AGAP003631/AGAP001162/AGAP004222/AGAP012378/AGAP002519/AGAP004123/AGAP007136/AGAP010589/AGAP029802/AGAP006216/AGAP006521/AGAP003244/AGAP029618/AGAP010851/AGAP002824/AGAP004223/AGAP011179/AGAP012985/AGAP029498/AGAP029478/AGAP006126/AGAP011481/AGAP009953/AGAP001558/AGAP001100","27_v_32_Naive","Cell signaling","G protein-coupled receptor signaling pathway",60,0.576923076923077,"Upregulated"
"7","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",35,0.581663065691842,2.16289007096261,1.14051925385567e-05,0.00030136027976878,0.00023133609157153,2941,"tags=60%, list=26%, signal=45%","AGAP007103/AGAP002828/AGAP009723/AGAP000007/AGAP004166/AGAP009711/AGAP002628/AGAP029589/AGAP011195/AGAP010884/AGAP002325/AGAP003579/AGAP009717/AGAP029644/AGAP003607/AGAP005093/AGAP010422/AGAP009716/AGAP008408/AGAP007203/AGAP009722","27_v_32_Naive","Cell adhesion","homophilic cell adhesion via plasma membrane
adhesion molecules",21,0.6,"Upregulated"
"8","GO:0007268","chemical synaptic transmission",46,0.539677543190985,2.19393021877342,1.42583034366011e-05,0.00036279460966462,0.00027849551741665,1995,"tags=50%, list=17%, signal=42%","AGAP003570/AGAP000038/AGAP000209/AGAP002152/AGAP000449/AGAP003568/AGAP006956/AGAP011916/AGAP001990/AGAP008588/AGAP000329/AGAP010057/AGAP002229/AGAP002972/AGAP001478/AGAP000966/AGAP011349/AGAP002090/AGAP004675/AGAP002577/AGAP008190/AGAP008028/AGAP002369","27_v_32_Naive","Synaptic activity","chemical synaptic transmission",23,0.5,"Upregulated"
"9","GO:0006606","protein import into nucleus",33,-0.598885530180806,-2.03908196357168,2.90163349327901e-05,0.00065361436107922,0.00050174028177536,2347,"tags=61%, list=20%, signal=48%","AGAP002970/AGAP007299/AGAP003459/AGAP009921/AGAP003576/AGAP002426/AGAP001179/AGAP011156/AGAP010711/AGAP009800/AGAP007699/AGAP007024/AGAP008970/AGAP010978/AGAP001685/AGAP007999/AGAP001273/AGAP009792/AGAP012362/AGAP010051","27_v_32_Naive","Molecule transport","protein import into nucleus",20,0.606060606060606,"Downregulated"
"10","GO:0006811","monoatomic ion transport",148,0.356528121056905,1.8241594628957,2.94935155654381e-05,0.00065361436107922,0.00050174028177536,2418,"tags=40%, list=21%, signal=32%","AGAP008378/AGAP007945/AGAP002797/AGAP000038/AGAP012429/AGAP005251/AGAP002152/AGAP004896/AGAP012447/AGAP009616/AGAP029672/AGAP001477/AGAP003921/AGAP000079/AGAP002505/AGAP002719/AGAP004474/AGAP010249/AGAP010146/AGAP009446/AGAP029671/AGAP010272/AGAP011924/AGAP001557/AGAP001990/AGAP008588/AGAP000361/AGAP011459/AGAP003709/AGAP008202/AGAP000413/AGAP000329/AGAP008718/AGAP010057/AGAP003711/AGAP002972/AGAP001478/AGAP002150/AGAP008201/AGAP028611/AGAP000966/AGAP006115/AGAP006638/AGAP011349/AGAP007818/AGAP006186/AGAP002466/AGAP008435/AGAP002577/AGAP006027/AGAP008559/AGAP003274/AGAP012241/AGAP029712/AGAP007086/AGAP029523/AGAP001011/AGAP029240/AGAP007084","27_v_32_Naive","Molecule transport","monoatomic ion transport",59,0.398648648648649,"Upregulated"
