cds_id,SampleID,SampleNames,Condition,ConditionColors,Replicate,Batch,BatchColors,Batch2,Batch2Color,Sex,Genotype,temperature,age,treatment,replicate
LM_0031__27C_10d_Naive,10500-LM-0031,27C-10d-Naive-rep2,27C-10d-Naive,#9479ff,2,2,#60b64b,2,#8aaf35,Female,WT,27C,10d,Naive,rep2
LM_0032__27C_10d_HKEC,10500-LM-0032,27C-10d-HKEC-rep2,27C-10d-HKEC,#df6000,2,2,#60b64b,2,#8aaf35,Female,WT,27C,10d,HKEC,rep2
LM_0027__32C_1d_Naive,10500-LM-0027,32C-1d-Naive-Rep2,32C-1d-Naive,#784710,2,1,#7178ca,3,#9d59d2,Female,WT,32C,1d,Naive,rep2
LM_0028__32C_1d_HKEC,10500-LM-0028,32C-1d-HKEC-Rep2,32C-1d-HKEC,#63c0ff,2,1,#7178ca,3,#9d59d2,Female,WT,32C,1d,HKEC,rep2
LM_0037__32C_10d_Naive,10500-LM-0037,32C-10d-Naive-rep2,32C-10d-Naive,#ffb19a,2,2,#60b64b,3,#9d59d2,Female,WT,32C,10d,Naive,rep2
LM_0049__27C_10d_Naive,10500-LM-0049,27C-10d-Naive-rep3,27C-10d-Naive,#9479ff,3,4,#b9b335,4,#62a050,Female,WT,27C,10d,Naive,rep3
LM_0050__27C_10d_HKEC,10500-LM-0050,27C-10d-HKEC-rep3,27C-10d-HKEC,#df6000,3,4,#b9b335,4,#62a050,Female,WT,27C,10d,HKEC,rep3
LM_0021__27C_5d_Naive,10500-LM-0021,27C-5d-Naive-Rep2,27C-5d-Naive,#016fbc,2,1,#7178ca,5,#5a66dd,Female,WT,27C,5d,Naive,rep2
LM_0022__27C_5d_HKEC,10500-LM-0022,27C-5d-HKEC-Rep2,27C-5d-HKEC,#ffba33,2,1,#7178ca,5,#5a66dd,Female,WT,27C,5d,HKEC,rep2
LM_0023__27C_15d_Naive,10500-LM-0023,27C-15d-Naive-Rep2,27C-15d-Naive,#9e2cb4,2,1,#7178ca,6,#cd9230,Female,WT,27C,15d,Naive,rep2
LM_0024__27C_15d_HKEC,10500-LM-0024,27C-15d-HKEC-Rep2,27C-15d-HKEC,#55da5a,2,1,#7178ca,6,#cd9230,Female,WT,27C,15d,HKEC,rep2
LM_0025__30C_10d_Naive,10500-LM-0025,30C-10d-Naive-Rep2,30C-10d-Naive,#65428b,2,1,#7178ca,7,#6179d9,Female,WT,30C,10d,Naive,rep2
LM_0026__30C_10d_HKEC,10500-LM-0026,30C-10d-HKEC-Rep2,30C-10d-HKEC,#a2153b,2,1,#7178ca,7,#6179d9,Female,WT,30C,10d,HKEC,rep2
LM_0033__27C_1d_Naive,10500-LM-0033,27C-1d-Naive-rep2,27C-1d-Naive,#7096ff,2,2,#60b64b,7,#6179d9,Female,WT,27C,1d,Naive,rep2
LM_0034__27C_1d_HKEC,10500-LM-0034,27C-1d-HKEC-rep2,27C-1d-HKEC,#9ed74f,2,2,#60b64b,7,#6179d9,Female,WT,27C,1d,HKEC,rep2
LM_0063__27C_5d_Naive,10500-LM-0063,27C-5d-Naive-rep3,27C-5d-Naive,#016fbc,3,5,#cf4786,7,#6179d9,Female,WT,27C,5d,Naive,rep3
LM_0064__27C_5d_HKEC,10500-LM-0064,27C-5d-HKEC-rep3,27C-5d-HKEC,#ffba33,3,5,#cf4786,7,#6179d9,Female,WT,27C,5d,HKEC,rep3
LM_0067__30C_10d_Naive,10500-LM-0067,30C-10d-Naive-rep3,30C-10d-Naive,#65428b,3,5,#cf4786,8,#cd5930,Female,WT,30C,10d,Naive,rep3
LM_0068__30C_10d_HKEC,10500-LM-0068,30C-10d-HKEC-rep3,30C-10d-HKEC,#e1c636,3,5,#cf4786,8,#cd5930,Female,WT,30C,10d,HKEC,rep3
LM_0069__27C_15d_Naive,10500-LM-0069,27C-15d-Naive-rep3,27C-15d-Naive,#9e2cb4,3,6,#55ae80,8,#cd5930,Female,WT,27C,15d,Naive,rep3
LM_0070__27C_15d_HKEC,10500-LM-0070,27C-15d-HKEC-rep3,27C-15d-HKEC,#55da5a,3,6,#55ae81,8,#cd5930,Female,WT,27C,15d,HKEC,rep3
LM_0047__30C_15d_Naive,10500-LM-0047,30C-15d-Naive-rep1,30C-15d-Naive,#b80063,1,3,#b05cc6,9,#cd5930,Female,WT,30C,15d,Naive,rep1
LM_0048__30C_15d_HKEC,10500-LM-0048,30C-15d-HKEC-rep1,30C-15d-HKEC,#99a100,1,3,#b05cc6,9,#cd5930,Female,WT,30C,15d,HKEC,rep1
LM_0059__32C_10d_Naive,10500-LM-0059,32C-10d-Naive-rep3,32C-10d-Naive,#ffb19a,3,5,#cf4786,9,#cd5930,Female,WT,32C,10d,Naive,rep3
LM_0060__32C_10d_HKEC,10500-LM-0060,32C-10d-HKEC-rep3,32C-10d-HKEC,#00b87d,3,5,#cf4786,9,#cd5930,Female,WT,32C,10d,HKEC,rep3
LM_0075__27C_10d_Naive,10500-LM-0075,27C-10d-Naive-rep4,27C-10d-Naive,#9479ff,4,6,#55ae82,9,#cd5930,Female,WT,27C,10d,Naive,rep4
LM_0076__27C_10d_HKEC,10500-LM-0076,27C-10d-HKEC-rep4,27C-10d-HKEC,#df6000,4,6,#55ae83,9,#cd5930,Female,WT,27C,10d,HKEC,rep4
LM_0083__30C_10d_Naive,10500-LM-0083,30C-10d-Naive-rep4,30C-10d-Naive,#65428b,4,7,#cd4e42,9,#cd5930,Female,WT,30C,10d,Naive,rep4
LM_0084__30C_10d_HKEC,10500-LM-0084,30C-10d-HKEC-rep4,30C-10d-HKEC,#e1c636,4,7,#cd4e42,9,#cd5930,Female,WT,30C,10d,HKEC,rep4
LM_0089__27C_15d_Naive,10500-LM-0089,27C-15d-Naive-rep4,27C-15d-Naive,#9e2cb4,4,8,#4bafd0,9,#cd5930,Female,WT,27C,15d,Naive,rep4
LM_0090__27C_15d_HKEC,10500-LM-0090,27C-15d-HKEC-rep4,27C-15d-HKEC,#55da5a,4,8,#4bafd0,9,#cd5930,Female,WT,27C,15d,HKEC,rep4
LM_0041__30C_15d_Naive,10500-LM-0041,30C-15d-Naive-rep2,30C-15d-Naive,#b80063,2,3,#b05cc6,10,#d73e5a,Female,WT,30C,15d,Naive,rep2
LM_0042__30C_15d_HKEC,10500-LM-0042,30C-15d-HKEC-rep2,30C-15d-HKEC,#99a100,2,3,#b05cc6,10,#d73e5a,Female,WT,30C,15d,HKEC,rep2
LM_0091__32C_10d_Naive,10500-LM-0091,32C-10d-Naive-rep4,32C-10d-Naive,#ffb19a,4,8,#4bafd0,10,#d73e5a,Female,WT,32C,10d,Naive,rep4
LM_0092__32C_10d_HKEC,10500-LM-0092,32C-10d-HKEC-rep4,32C-10d-HKEC,#00b87d,4,8,#4bafd0,10,#d73e5a,Female,WT,32C,10d,HKEC,rep4
