Module	LM_0031__27C_10d_Naive	LM_0032__27C_10d_HKEC	LM_0027__32C_1d_Naive	LM_0028__32C_1d_HKEC	LM_0037__32C_10d_Naive	LM_0049__27C_10d_Naive	LM_0050__27C_10d_HKEC	LM_0021__27C_5d_Naive	LM_0022__27C_5d_HKEC	LM_0023__27C_15d_Naive	LM_0024__27C_15d_HKEC	LM_0025__30C_10d_Naive	LM_0026__30C_10d_HKEC	LM_0033__27C_1d_Naive	LM_0034__27C_1d_HKEC	LM_0063__27C_5d_Naive	LM_0064__27C_5d_HKEC	LM_0067__30C_10d_Naive	LM_0068__30C_10d_HKEC	LM_0069__27C_15d_Naive	LM_0070__27C_15d_HKEC	LM_0047__30C_15d_Naive	LM_0048__30C_15d_HKEC	LM_0059__32C_10d_Naive	LM_0060__32C_10d_HKEC	LM_0075__27C_10d_Naive	LM_0076__27C_10d_HKEC	LM_0083__30C_10d_Naive	LM_0084__30C_10d_HKEC	LM_0089__27C_15d_Naive	LM_0090__27C_15d_HKEC	LM_0041__30C_15d_Naive	LM_0042__30C_15d_HKEC	LM_0091__32C_10d_Naive	LM_0092__32C_10d_HKEC	LM_0109__27C_15d_Naive	LM_0110__27C_15d_HKEC	LM_0029__32C_15d_Naive	LM_0030__32C_15d_HKEC	LM_0103__30C_10d_Naive	LM_0104__30C_10d_HKEC	LM_0111__32C_10d_Naive	LM_0112__32C_10d_HKEC	LM_0035__32C_5d_Naive	LM_0036__32C_5d_HKEC	LM_0039__32C_15d_Naive	LM_0040__32C_15d_HKEC	LM_0079__27C_5d_Naive	LM_0080__27C_5d_HKEC	LM_0101__27C_5d_Naive	LM_0102__27C_5d_HKEC	LM_0113__27C_10d_Naive	LM_0114__27C_10d_HKEC	LM_0043__30C_5d_Naive	LM_0044__30C_5d_HKEC	LM_0053__32C_15d_Naive	LM_0054__32C_15d_HKEC	LM_0061__32C_1d_Naive	LM_0062__32C_1d_HKEC	LM_0085__32C_15d_Naive	LM_0086__32C_15d_HKEC	LM_0045__30C_1d_Naive	LM_0046__30C_1d_HKEC	LM_0081__32C_1d_Naive	LM_0082__32C_1d_HKEC	LM_0055__30C_5d_Naive	LM_0056__30C_5d_HKEC	LM_0099__32C_15d_Naive	LM_0065__30C_15d_Naive	LM_0066__30C_15d_HKEC	LM_0071__32C_5d_Naive	LM_0072__32C_5d_HKEC	LM_0119__30C_5d_Naive	LM_0120__30C_5d_HKEC	LM_0093__32C_5d_Naive	LM_0094__32C_5d_HKEC	LM_0095__30C_5d_Naive	LM_0096__30C_5d_HKEC	LM_0105__32C_1d_Naive	LM_0106__32C_1d_HKEC	LM_0051__30C_1d_Naive	LM_0052__30C_1d_HKEC	LM_0057__27C_1d_Naive	LM_0058__27C_1d_HKEC	LM_0115__32C_5d_Naive	LM_0116__32C_5d_HKEC	LM_0073__30C_1d_Naive	LM_0074__30C_1d_HKEC	LM_0077__30C_15d_Naive	LM_0078__30C_15d_HKEC	LM_0087__27C_1d_Naive	LM_0088__27C_1d_HKEC	LM_0100__32C_15d_HKEC	LM_0097__27C_1d_Naive	LM_0098__27C_1d_HKEC	LM_0107__30C_15d_Naive	LM_0108__30C_15d_HKEC	LM_0117__30C_1d_Naive	LM_0118__30C_1d_HKEC	LM_0123__30C_5d_Naive	LM_0124__30C_5d_HKEC	LM_0129__30C_10d_Naive	LM_0130__30C_10d_HKEC	LM_0131__30C_1d_Naive	LM_0132__30C_1d_HKEC	LM_0121__32C_1d_Naive	LM_0122__32C_1d_HKEC	LM_0133__32C_5d_Naive	LM_0134__32C_5d_HKEC	LM_0137__32C_10d_Naive	LM_0138__32C_10d_HKEC	LM_0125__27C_15d_Naive	LM_0126__27C_15d_HKEC	LM_0139__27C_10d_Naive	LM_0140__27C_10d_HKEC
P2_I6_M7	-0.150914705243987	-0.0715003539048276	-0.0285631755874622	0.0302008848526872	-0.108164310361807	-0.10198015231934	-0.0140495836416896	-0.141536416123763	0.0216386809063846	-0.105074424543413	-0.00453990182093465	-0.0694965286568766	-0.00762689082734548	0.00131872335778798	0.0650841365951063	-0.175497568787174	-0.0318600434774671	-0.00368724546103935	0.0262214472902608	-0.0410633187946308	0.0553791641696765	0.00851102359150321	0.119402238084993	-0.0724160187273999	0.0971081022501928	-0.119059260114414	-0.0466103066179058	-0.0816489973680162	0.0192919457156626	-0.023504735690051	0.0606241127540734	0.114363745051059	0.035632245082568	0.0151166856502176	0.0383389544923125	-0.0914240432694192	-0.0272268589093724	0.11740519909408	0.172085102801612	-0.0430681068343031	0.0839906794832146	-0.0186300220941162	0.067640559217026	-0.110472099432523	0.0289648688823235	0.171370473302219	0.268312664909594	-0.160493095363069	-0.0772581497961495	-0.126413892996228	-0.0215167546259762	-0.0900758759087948	0.0736609284151256	-0.0881487051057465	0.0853772019523769	0.0472657612558461	0.197351530482956	0.00209954484512569	0.0444612450468935	0.163394626759516	0.234079632100394	-0.0309203152601338	-0.0071333818328421	-0.0191844576228385	0.0624433673236508	-0.163456953354417	-0.0410630001826946	0.0882634340609922	-0.0133827363689252	0.127962305150853	-0.0969263317672293	0.0789607841341693	-0.136992514027454	-0.0213707150977409	-0.118189337586029	0.00197163039267627	-0.147709706183269	-0.0669455779162833	-0.0197331767896493	0.0433271165159587	-0.0233598801115091	0.0475924211738444	-0.00797316392184958	0.0943269766163124	-0.126501953468933	0.0231849968816094	-0.0585606872988484	0.0849967509298905	-0.078632085841929	0.148579568858955	-0.0197780324593286	0.0758183121966304	0.262215158247973	-0.0122336022218657	0.0764285931400449	-0.0490286479288725	0.0873611448044268	-0.0266655924730993	0.0739633337097929	-0.155596369222606	-0.0473294208042781	-0.130929730206571	0.0292846947038146	-0.0305630115856813	0.0310134277175291	-0.0333212761416196	0.0480135191382443	-0.105263244970195	0.156127487664289	-0.0778886081613185	0.0617267321092149	-0.0679466868810876	0.0784098312728572	-0.0927662030404456	0.0332042479982664
P2_I6_M6	0.0440081357654568	-0.0874832062514055	0.148710431890036	0.0720782462500592	0.0307415136107533	0.0134452563723368	-0.124956108374762	0.0444866721308608	-0.121370117207042	0.0300501612514687	-0.101841689324225	0.0347070746944601	-0.073564951202102	0.155897155088389	0.039292812655674	0.0465157401727341	-0.0906389691387777	0.00213174646257759	-0.094615716096725	-0.0202737807032404	-0.123088576958721	0.00728385812725023	-0.137005274345517	0.0196247762016691	-0.111589845890034	0.0103121277731348	-0.111046762585269	0.0407573626684564	-0.0821451374269376	-0.0542040578008098	-0.145605540164821	0.012936106948958	-0.0594170443873721	-0.00333317752001284	-0.0740663624740249	-0.00013904615300256	-0.0974360999781418	-0.0533643427004342	-0.11548453803139	0.0187645673350512	-0.097556577126061	0.0127913286289136	-0.0797475829127276	0.034957898617134	-0.0973862549730235	-0.0399266819805813	-0.119887956751401	0.0432714751748449	-0.0772559144343072	0.033085657232615	-0.0988455326843017	-0.0297758546532101	-0.157070688830273	0.0753966700669288	-0.0794009210440849	0.00139651799081282	-0.114115433571864	0.143287617640347	0.0774639156078819	-0.0877387064427002	-0.144256506061249	0.180015655056649	0.0850850582549014	0.144481656557024	0.0537535277545042	0.0643654899892355	-0.0606193716138221	-0.00998751506836269	0.0259008063055526	-0.117604700194657	0.0459427658254334	-0.0874299699249067	0.0760720814583711	-0.0321707233630164	0.0728159949517672	-0.0527354619840307	0.0862842351317764	0.00753111182479619	0.149602184932553	0.0796879026443911	0.183289851516678	0.0898391057427213	0.170725527044171	0.0498183068364221	0.0709037096396847	-0.067529710465927	0.181743270304284	0.0362911779296987	0.0361721459400571	-0.130026817740382	0.173188154715101	0.0254843615900389	-0.157290881409387	0.165694571403035	0.0511314625888632	0.0379081267605098	-0.113420282977465	0.178924824799888	0.0651561123606353	0.0954787116862668	-0.0396890858336093	0.0715311501206641	-0.0664108738289761	0.1790287381359	0.0880144861639994	0.147890317199865	0.0515368432471068	0.0577316974705556	-0.110820471351512	0.0389748347465618	-0.100392716733048	0.017661959206472	-0.136184338757895	0.0111810205163498	-0.152285887283737
P2_I6_M2	-0.022021658732202	0.0368409068180133	-0.147044079250837	-0.123101493364012	-0.0279904972859274	0.0197458349412194	0.0953476664966584	0.0146771943067381	0.11336176990277	0.0271212338427268	0.0798677847313301	-0.00409079530817659	0.0582457911848831	-0.14951733209284	-0.0936530377195049	-0.0160520378850457	0.0947386198199288	0.0184585160561596	0.0570193469567331	0.0503538106039339	0.0852557514408876	0.0218280495452655	0.0987860833254076	0.0344039935875168	0.110003055829686	0.0552840352446446	0.102341590347882	0.0330886062437389	0.078926539355999	0.0488725559125269	0.115543726264839	0.0508421032336574	0.0441381281985326	0.0248474443515768	0.0491309665502813	0.034696691679624	0.0764461979131978	0.0607565873549397	0.113425236369896	-0.00664198742652408	0.0808923744395766	0.00325860413181824	0.0413564784069896	-0.00662307644705814	0.0711656299762431	0.0870810361683197	0.161668746221158	0.0250317056845886	0.062728729418754	0.0258757862854242	0.0833237134846858	0.0395118988064439	0.113899800794302	-0.0358803031235599	0.068687818672207	0.0279041397417336	0.130422254970261	-0.125601660459479	-0.110166139113762	0.106661152651589	0.160485996775463	-0.164231088442128	-0.234735232016861	-0.14737557501515	-0.113395839773408	-0.015387953406294	0.0597872691790808	0.0425966117859988	0.0198972645973551	0.102705520472353	-0.0179543705388664	0.0734199880643372	-0.0377482084841816	0.0256812486803867	-0.0303945132612106	0.0239020096695109	-0.0248435670486891	-0.0048764836120178	-0.13699104185455	-0.103204313583707	-0.162048731956676	-0.1264051548049	-0.156802420182531	-0.098285433510529	-0.0450287376891231	0.0237531344555414	-0.217020186114445	-0.104187986002656	-0.00291657675536883	0.110655773997015	-0.193284144393002	-0.0908931601616026	0.176310460000736	-0.162481265419959	-0.12547135462001	0.00605263892913468	0.0772358228682494	-0.165837115165649	-0.124734790054513	-0.0579277564539052	0.0345941416538552	-0.0171234072958743	0.0452129581645397	-0.155758675552924	-0.137795844929282	-0.168530271093717	-0.132888461348747	-0.0344566026109785	0.100889372447882	-0.0175737761505927	0.0695616639681941	0.00557191717907187	0.0908013442432353	0.0212680161625929	0.0927252959531592
P2_I6_M11	-0.127202807025017	-0.0324363408361172	0.0257881257425137	0.113210605626442	-0.133354401031054	-0.0941559148325198	-0.00255992077817967	-0.133242325298954	0.0381878218980454	-0.135211502838965	0.0129429822899257	-0.0668495599567692	0.017133989982719	0.07176141158397	0.180441894181983	-0.161336523213946	-0.00121386619552922	-0.0401309310286322	0.0155538468748687	-0.0866312252895422	0.0371918298184212	-0.0389645930406658	0.0583453463574845	-0.126818269293378	0.0364705146892272	-0.133955027996152	-0.0340850635749311	-0.11689270014198	0.0220340332059132	-0.0808456927806555	0.0302577233157875	0.0213464818195553	0.0178199220533431	-0.057371210525609	-0.0102430504928976	-0.118345776984079	-0.0189902395574238	-0.000597079515112688	0.0930654484452791	-0.0690400854811018	0.0697857643167717	-0.0874884431830373	0.0369416339604082	-0.114519550541758	0.028645928310972	0.0293613400025046	0.168737985825475	-0.151718583414322	-0.0316721934161836	-0.116756636566806	0.00477563118586523	-0.103617922076408	0.0548932914772688	-0.0960062108832343	0.0653394448196902	-0.0368713018262829	0.10387673157542	0.0395089984201016	0.134557717755063	0.0151711527116873	0.115910124271017	0.0292129828569015	0.144466871131392	0.0173101063007397	0.153996940465993	-0.146608049491845	-0.00432586505837897	-0.0265936993844168	-0.085659536006302	0.0730548581904782	-0.120011696873989	0.0677478346584407	-0.125540217680628	0.00446508528608332	-0.14810386449001	0.00728565990247234	-0.132604648461896	-0.0191386290574255	0.00678941808559098	0.106025745181174	0.0106631885683189	0.125432761783772	0.0692996862132288	0.198030021314584	-0.134037417198475	0.0223939734973142	0.0313127685016411	0.176161758010129	-0.115487467442129	0.0954224642511915	0.0618873130281202	0.181184992610804	0.160010920436953	0.060293504727415	0.174206144979575	-0.0926520805192499	0.0458335836801014	0.0227131209825217	0.162669642240655	-0.127671623568678	-0.0126226005677551	-0.123801081884163	0.0212052953283131	0.0305316929621871	0.124800671984022	0.0126114065030542	0.130242924694771	-0.125379193797914	0.0968204444543909	-0.112751426099708	0.0371473374368901	-0.0959407667985722	0.0633694040372601	-0.103784488418564	0.0281810556131413
P4_I3_M1	-0.0924620131718775	-0.0370895177527529	0.0918383697949691	0.150857252187228	-0.109788191489761	-0.084731868948233	-0.0340230700267083	-0.0882943500232216	-0.000306959232716189	-0.0975155230478482	-0.0289547904210712	-0.0783778431457554	-0.0264640274150341	0.150279213720799	0.197872654576002	-0.0899450982318594	-0.0152929879953496	-0.0740708127923465	-0.037981132451356	-0.0818425037398726	-0.0018435907486442	-0.0709348978910806	-0.0074213024675118	-0.12300471657275	-0.0374829090208243	-0.0859917193648357	-0.0563360090300115	-0.0972481123714476	-0.0352220447425856	-0.0806102976605827	-0.0145769619064364	-0.0244569822686433	-0.00800666709029788	-0.070463523522135	-0.0411247941975388	-0.0878095965922943	-0.0410961961864006	-0.0527761450346861	0.00569921546256211	-0.0606541288639353	-0.00509353672595737	-0.0847525302656691	-0.00668916630480361	-0.0912484131632743	-0.0167454202804677	-0.0347177026783377	0.066931833857723	-0.105199412554591	-0.0433607706416225	-0.0814032833517379	-0.0177855905262603	-0.0800682808418621	0.00451058885622848	-0.0638683444974732	0.0209063710779998	-0.0668671366607598	0.0345538935919851	0.108012022673139	0.145161823550181	-0.0698864726616249	0.016611568495334	0.114386365354562	0.214249275611257	0.1070351896804	0.177032649705738	-0.101224472380954	-0.0324120183799609	-0.0634745714869382	-0.0915204294713469	-0.00768611672288017	-0.0892968893864565	0.0213699881184891	-0.0823646916783139	-0.0138257077408974	-0.11170508519056	-0.0340981337575994	-0.100479050627621	-0.0349378108028102	0.0895987098023926	0.145209675625492	0.118618111379554	0.1486328831206	0.147036300469268	0.196376493019557	-0.0995773670834331	-0.000841806469025358	0.122746757774911	0.194719998995957	-0.0963914726327124	0.0116127687724715	0.153469539823231	0.198076625504711	0.0591428187297754	0.135343081408628	0.193888417630165	-0.0834060808577051	-0.0219350554073841	0.11590754579851	0.186683861212743	-0.0915437856082834	-0.0440800455960056	-0.0906295790490031	-0.0153699610490538	0.103796979089905	0.152886587227285	0.0952446663462615	0.159105156894063	-0.0860579114954494	0.0453422092505552	-0.0899706760092115	-0.00989412502872203	-0.0857057624660379	0.00992397905097628	-0.083609496190092	-0.0067459941003001
P2_I6_M3	0.0826425588060089	0.0163498228691623	0.138628304422021	0.0837355848174451	-0.0146656109842199	0.0264140657181723	-0.021645189127129	0.0920642674115252	0.00185360288145816	-0.0183509667523939	-0.0656991577128789	-0.0263535390825753	-0.05438247140811	0.180077925688324	0.0999289745455841	0.11732510721062	0.0151901653976912	-0.0893652559350687	-0.108504515621299	-0.047085621621287	-0.0797919950514222	-0.102965864765233	-0.15373052148177	-0.046320388783521	-0.114102411673794	0.0503713769341989	-0.00975204847136339	-0.00056306102328543	-0.0600976619167607	-0.0640351535391614	-0.0751343963120186	-0.0815676257691333	-0.0788192890905355	-0.0756255618255663	-0.0962101027537026	0.0112678720239604	-0.03504625344885	-0.13963026924826	-0.151455616528698	-0.0200585937244387	-0.0802449054010481	-0.0641923797841501	-0.100282731832719	0.0370860767811055	-0.0507121190729287	-0.145770943633466	-0.172273814902291	0.101705100498578	0.0546971710435385	0.0781127431577489	0.0152266224126273	0.0124604907359119	-0.0535683280869559	0.0367736153090138	-0.057729114784587	-0.110775315588834	-0.164140118038491	0.119387541835084	0.0785671414930406	-0.167868835083417	-0.169650886173415	0.168479714994586	0.169716512184136	0.124212915090438	0.0576454942190334	0.0893409958502611	0.0208413485778997	-0.119409944823335	-0.0747404935873497	-0.125835289290026	0.0272428728975797	-0.0660057411327093	0.0948824809595271	0.0234295205346596	0.0308912814401395	-0.0224200665793679	0.074514297106611	0.0560406311080658	0.114149910478242	0.0452037416891154	0.139156812275454	0.0900312824202265	0.170802953303511	0.0770112931228264	0.0371164262251842	-0.0207052644549898	0.177981223377782	0.0473342216414874	-0.0572266217558935	-0.130046366533994	0.167060901028083	0.0573860982576648	-0.178746202111546	0.15387245460976	0.0748014221233831	-0.0608780975197217	-0.105584498145248	0.146581103674161	0.0750267028362802	0.104739022024961	0.0305350338650444	0.0319422594259729	-0.041133017012649	0.128318691454141	0.0826848683199301	0.13487786228676	0.064175272936162	0.0300875604585886	-0.083638895743955	-0.0407026898539449	-0.0911950322906255	-0.04329320033	-0.101587172409177	0.0210456822667181	-0.0577097674478833
P2_I6_M1	-0.131484287178839	-0.163647898916471	0.116182706176561	0.115450135508686	-0.0801082947121209	-0.0957724450929073	-0.119619870488905	-0.106491903631534	-0.0809694104198126	-0.0666326868358298	-0.089290773488095	-0.0405840432527604	-0.02753662315323	0.112327857529262	0.116708845378832	-0.136670365849304	-0.0837485455881686	0.00795829131979767	-0.0262970319768521	-0.0681844310545871	-0.0439847871538935	0.00802085456993913	0.00527818003828162	-0.0454035815689112	-0.0104651292818164	-0.13681751833883	-0.153341119929727	-0.0769043239939671	-0.0771167018438357	-0.0824665777759096	-0.0904779161338076	0.0275541735322075	-0.0191557005651412	0.0127372526175548	-0.00268956361023441	-0.134941221502249	-0.121551117870725	0.0250232165500919	0.0437419327499817	-0.021961416564219	-0.0163338392595595	-0.0016291777868009	0.0338491366245266	-0.0487479710098699	-0.0142824271960265	0.0618220522977304	0.0898569728151881	-0.129023271937889	-0.132081608821495	-0.083789849805944	-0.0798361542833972	-0.115385230965581	-0.0829890183217809	0.00303968011993221	0.0217963343904668	0.0493650986657084	0.0651165525092961	0.148012450289874	0.143594022670764	0.0431528520890978	0.0843122287480731	0.120811488327334	0.0428575820658743	0.146260047621648	0.133200187787272	-0.113842896423663	-0.0782103456888947	0.0594418543588491	-0.0531812828300043	-0.0134349422852874	-0.0556128341355629	0.0236447344976174	-0.0912861035952552	-0.0679669671539087	-0.0374369737971348	-0.0293090903914687	-0.0688567892957094	-0.0723739217896939	0.148976512559985	0.16645161097475	0.160459330099958	0.134472199635368	0.152246624342207	0.162237878231018	-0.0218088013940377	-0.0268648171652364	0.104025471242715	0.139505271682708	-0.0457364369827071	-0.0194509625114594	0.138635982181281	0.167746455588298	0.0621146584137608	0.167686224286165	0.140098848566936	-0.0304721166967927	-0.0448688636524743	0.145693415145656	0.132297023088187	-0.0823845538247202	-0.0591828925383253	-0.0727253365089565	-0.0579328667337387	0.191147486759913	0.138448770288012	0.106332252050437	0.111565889889214	-0.0412524957310271	0.0414575897811154	-0.0323724547872579	-0.0159225431021983	-0.0607329167474046	-0.0411887018908183	-0.102427789799118	-0.0974656820442463
P2_I6_M9	-0.161064158433874	-0.203410500684928	-0.0024983228466147	-0.00717722182102635	-0.0309218352938089	-0.0653311473577422	-0.141008318898497	-0.105484984971047	-0.0965085825912459	0.00347523889555089	-0.0675945721292354	0.0392541021716685	0.03741808740693	-0.0808112007711364	-0.084858782254142	-0.186994399369401	-0.0853417164779928	0.127537844066196	0.0450596492393543	0.0169661379347025	-0.0115156547028111	0.133216811644877	0.0727943882878456	0.0320845626984134	0.0662029207773612	-0.150252964554375	-0.194297516000313	-0.0337154621606466	-0.059340238337566	-0.0212546937246836	-0.0928885637520752	0.106559163948081	0.0270782398001359	0.109539181747908	0.0762636403669993	-0.130585429223315	-0.131814100568688	0.127085507041202	0.116477386191999	0.0596723207127711	0.0386345244025478	0.0937229267423334	0.127253523344103	-0.0311115867532988	0.0215734000811736	0.169291092560116	0.168299789081188	-0.151374084153786	-0.201673800653305	-0.0863718942970281	-0.104153948195573	-0.111522583090754	-0.0839578999573009	0.0509051163159213	0.0651411562450059	0.182375056651657	0.155747999076905	0.0464012583986111	0.0358927697811912	0.156293426968165	0.18786480452817	-0.037583943996176	-0.221182203654547	0.0596955959178532	-0.00599853022509269	-0.136959451613469	-0.0996912551545541	0.185949544274193	0.0375562472120427	0.050221258915137	0.00704012321273886	0.0876997478429004	-0.110924977321995	-0.0834394290780307	0.0194829444091619	0.00355601845055419	-0.052232866202481	-0.0997998591740785	0.104924187262137	0.112089213928244	0.0785997304142294	-0.00171176951291625	0.0246051385047183	0.00254422527795767	0.037283662501178	0.00902244115527204	-0.0789548266588982	0.0156063824761125	0.0566730608595285	0.0333704101822782	-0.0174843982544161	0.0283694200975863	0.123032145227936	0.0371049891283827	-0.021088014601265	0.0704849771903892	0.005089769790972	0.0510561452900332	0.0155604718387496	-0.077166364720204	-0.063894854529713	-0.044606603136438	-0.0338779223808026	0.11075656175966	0.021675975123946	0.0109620220134736	-0.0100195366213038	0.0199053108967464	0.0582244291835647	0.0708369360374349	0.0662078026133535	0.0113095755485705	-0.00512855686493925	-0.0876891630405069	-0.118307800878081
P2_I6_M4	0.0120348167696165	0.0234359677470173	-0.134294005351627	-0.137323944267938	0.096818473168817	0.035319718925114	0.017124932396517	-0.0234202299186295	-0.0177612728607729	0.0600766489907054	0.053229142912845	0.0673964292442781	0.0425494433559869	-0.161076816595092	-0.156205335368161	-0.031996468795478	-0.023751396272226	0.101878306563294	0.0631725107678008	0.0692358558536571	0.0407119029392989	0.106633036902262	0.0926237531041848	0.0672129472863483	0.0627389298718555	0.00857498637114285	0.00841063701963413	0.0406248302332119	0.0277738820399487	0.0706408300358421	0.0341635125719209	0.0948859491675092	0.069338085383137	0.0853804827959384	0.0723318335345018	0.0481553709778201	0.031164948559166	0.142842401102602	0.104951747716649	0.0672123620755186	0.0512108034416782	0.100589802262053	0.0888566767074463	0.00866685615334015	0.00327458478654071	0.15832583033308	0.132834721793169	-0.0333636589060015	-0.0295482054185913	-0.0324785864540778	-0.0240567098835291	0.0259827477496223	0.0105280416029301	-0.00493281489867941	-0.00451047523285672	0.133813069568828	0.113254004091619	-0.1388460346155	-0.130534258884699	0.133913254264025	0.119239705979038	-0.152242093036869	-0.159160757817037	-0.122891667237485	-0.126766081566272	-0.0185466796764895	-0.0150772027033545	0.128763911122471	0.0971389160709396	0.0965622617643491	0.0375353747565857	0.0354173603011134	-0.0121090405703745	-0.00785845014881551	0.0132031457226102	0.0219086907455064	-0.0273790560657135	-0.0248916484534764	-0.115395440571188	-0.115882025178765	-0.144248533735806	-0.140284245094378	-0.16781165336943	-0.171032339200154	0.012408144968782	0.0223148688601222	-0.146819728721623	-0.14880551527183	0.100990631213149	0.0884294164544434	-0.159798850191339	-0.171701890611249	0.122826277224288	-0.171156089734545	-0.15423540336413	0.0889530818827915	0.0880724201279182	-0.151698616721215	-0.153068030555826	-0.0127803069383669	-0.0183089408065374	0.0290933098515801	0.0296631849379204	-0.157819541515229	-0.148017613822912	-0.113994047505981	-0.115334666430074	0.0281705073722622	0.0309881737242353	0.0968113035127386	0.0767700175124898	0.0719562580005635	0.0602374412317954	0.0269963228620357	0.0248705750021223
P2_I6_M10	-0.0148401792009151	0.0339129588329374	0.0939557946510728	0.150026971087782	-0.114288525280085	-0.0353376146448301	0.0212460854585283	0.00477572252599243	0.062233275909469	-0.0837231046034884	-0.0253662154604354	-0.0628961940645405	-0.0284285265865724	0.166317601080007	0.228310041382823	0.00336561816100482	0.0586107567120919	-0.103395584847496	-0.0565772122558035	-0.0801299934421389	-0.0115561220723874	-0.109312375795059	-0.0683933008602351	-0.127712532695785	-0.0668661218947012	-0.0302370150963693	0.0157530278061901	-0.0748947542140382	-0.0223816480595567	-0.0701741360351905	-0.0203711629611072	-0.0789273576709258	-0.0426851622675639	-0.114839487010142	-0.0825674908166196	-0.0535110896670969	-0.0029196419078477	-0.1315187520699	-0.0739180963411904	-0.0688702655037441	-0.0133628843186969	-0.127042524885382	-0.062791960988242	-0.0548814683814849	-0.0177608646096922	-0.130692903986514	-0.049416015477906	-0.00755904272255589	0.0611700446015154	0.00303153751334168	0.0624702400386101	-0.0268961574986091	0.0230212189848395	-0.045735509625606	0.00473538437689361	-0.143050253355698	-0.0678652472624528	0.0914988368867893	0.145303227409789	-0.141447344825892	-0.0783394710431285	0.121945507218809	0.229553152757398	0.0732235214507222	0.156918812948963	-0.0323355692613563	0.0356489624946585	-0.141886068265268	-0.100880765091314	-0.0515649271758551	-0.0667665107361202	-0.00573560966501149	-0.023620453715094	0.0333337228761302	-0.0821862699922904	-0.0272671858041756	-0.0307841420248264	0.0323860269093282	0.0555930949949666	0.107116128643706	0.0816158336708741	0.162311619396658	0.138007062746915	0.197221915499784	-0.0748397771475387	-0.00444979984284374	0.133147291979348	0.167160049437186	-0.111274998424693	-0.0406905342254769	0.150025663284945	0.19316129399769	-0.0481070363110899	0.136624166705212	0.184732398119	-0.105058880450466	-0.0528522647716634	0.0907349415312865	0.179759741803097	-0.0205873602648475	0.0229261734778353	-0.06409468802145	-0.0137556941321217	0.0679961117236706	0.156770513585437	0.0860358739300714	0.143134230109559	-0.0869471187795301	-0.0206573058532315	-0.122659328009003	-0.0541317903907688	-0.0943722038956212	-0.025072577830411	-0.0511996236113044	0.010437641288068
