Gene	Module	kME
1	P2_I6_M5	0.85
2	P2_I6_M5	0.84
3	P2_I6_M1	0.9
4	P1_I9_M2	0.93
5	P1_I9_M4	0.95
6	UNCLASSIFIED	NA
7	UNCLASSIFIED	NA
8	UNCLASSIFIED	NA
9	UNCLASSIFIED	NA
10	UNCLASSIFIED	NA
11	P1_I9_M1	0.83
12	P1_I9_M1	0.84
13	UNCLASSIFIED	NA
14	P1_I9_M2	0.97
15	P1_I9_M1	0.9
16	P1_I9_M1	0.85
17	UNCLASSIFIED	NA
18	UNCLASSIFIED	NA
19	P1_I9_M2	0.98
20	UNCLASSIFIED	NA
21	P1_I9_M2	0.86
22	P1_I9_M1	0.92
23	UNCLASSIFIED	NA
24	UNCLASSIFIED	NA
25	P2_I6_M9	0.92
26	P2_I6_M1	0.9
27	P1_I9_M1	0.83
28	UNCLASSIFIED	NA
29	P1_I9_M1	0.97
30	P2_I6_M5	0.82
31	UNCLASSIFIED	NA
32	P1_I9_M2	0.89
33	P1_I9_M4	0.87
34	P2_I6_M4	0.87
35	P1_I9_M1	0.97
36	P1_I9_M2	0.92
37	P1_I9_M2	0.88
38	P1_I9_M1	0.99
39	P2_I6_M10	0.82
40	P1_I9_M1	0.91
41	UNCLASSIFIED	NA
42	UNCLASSIFIED	NA
43	UNCLASSIFIED	NA
44	UNCLASSIFIED	NA
45	UNCLASSIFIED	NA
46	P1_I9_M2	0.83
47	UNCLASSIFIED	NA
48	P2_I6_M9	0.87
49	P2_I6_M9	0.83
50	P1_I9_M2	0.92
51	P1_I9_M1	0.95
52	UNCLASSIFIED	NA
53	P3_I5_M3	0.86
54	P2_I6_M4	0.93
55	P2_I6_M6	0.84
56	UNCLASSIFIED	NA
57	UNCLASSIFIED	NA
58	P2_I6_M2	0.9
59	UNCLASSIFIED	NA
60	P2_I6_M9	0.87
61	P2_I6_M6	0.9
62	UNCLASSIFIED	NA
63	P1_I9_M1	0.88
64	UNCLASSIFIED	NA
65	UNCLASSIFIED	NA
66	P2_I6_M3	0.88
67	P1_I9_M2	0.91
68	P1_I9_M5	0.83
69	UNCLASSIFIED	NA
70	P2_I6_M2	0.91
71	UNCLASSIFIED	NA
72	UNCLASSIFIED	NA
73	UNCLASSIFIED	NA
74	UNCLASSIFIED	NA
75	P1_I9_M1	0.83
76	P1_I9_M1	0.95
77	P1_I9_M1	0.86
78	UNCLASSIFIED	NA
79	P1_I9_M1	0.98
80	P2_I6_M5	0.86
81	P2_I6_M2	0.85
82	P1_I9_M1	0.85
83	P2_I6_M4	0.88
84	P1_I9_M2	0.89
85	UNCLASSIFIED	NA
86	UNCLASSIFIED	NA
87	UNCLASSIFIED	NA
88	P2_I6_M2	0.87
89	P1_I9_M3	0.93
90	P1_I9_M2	0.86
91	P1_I9_M1	0.94
92	UNCLASSIFIED	NA
93	P1_I9_M1	0.82
94	UNCLASSIFIED	NA
95	P1_I9_M2	0.95
96	UNCLASSIFIED	NA
97	UNCLASSIFIED	NA
98	P1_I9_M1	0.86
99	P1_I9_M2	0.86
100	P1_I9_M2	0.89
101	P1_I9_M2	0.87
102	UNCLASSIFIED	NA
103	UNCLASSIFIED	NA
104	P1_I9_M1	0.81
105	P2_I6_M3	0.85
106	P1_I9_M2	0.81
107	P1_I9_M2	0.93
108	P1_I9_M2	0.97
109	UNCLASSIFIED	NA
110	P1_I9_M1	0.93
111	P1_I9_M1	0.83
112	P1_I9_M1	0.98
113	UNCLASSIFIED	NA
114	P1_I9_M2	0.94
115	UNCLASSIFIED	NA
116	UNCLASSIFIED	NA
117	P1_I9_M2	0.98
118	P1_I9_M3	0.95
119	UNCLASSIFIED	NA
120	P1_I9_M1	0.9
121	UNCLASSIFIED	NA
122	UNCLASSIFIED	NA
123	UNCLASSIFIED	NA
124	P2_I6_M2	0.93
125	P2_I6_M5	0.81
126	P1_I9_M2	0.84
127	P1_I9_M1	0.85
128	UNCLASSIFIED	NA
129	UNCLASSIFIED	NA
130	UNCLASSIFIED	NA
131	UNCLASSIFIED	NA
132	P2_I6_M3	0.89
133	P2_I6_M3	0.83
134	UNCLASSIFIED	NA
135	UNCLASSIFIED	NA
136	UNCLASSIFIED	NA
137	UNCLASSIFIED	NA
138	P1_I9_M2	0.96
139	UNCLASSIFIED	NA
140	P1_I9_M1	0.94
141	P1_I9_M2	0.94
142	P2_I6_M6	0.84
143	UNCLASSIFIED	NA
144	UNCLASSIFIED	NA
145	UNCLASSIFIED	NA
146	P2_I6_M7	0.84
147	P2_I6_M4	0.87
148	P1_I9_M1	0.98
149	UNCLASSIFIED	NA
150	UNCLASSIFIED	NA
151	P2_I6_M4	0.83
152	UNCLASSIFIED	NA
153	UNCLASSIFIED	NA
154	P2_I6_M11	0.9
155	UNCLASSIFIED	NA
156	P1_I9_M1	0.96
157	UNCLASSIFIED	NA
158	UNCLASSIFIED	NA
159	UNCLASSIFIED	NA
160	P1_I9_M4	0.94
161	P2_I6_M9	0.87
162	UNCLASSIFIED	NA
163	UNCLASSIFIED	NA
164	P1_I9_M1	0.84
165	P2_I6_M1	0.81
166	P2_I6_M3	0.93
167	P1_I9_M1	0.91
168	UNCLASSIFIED	NA
169	P2_I6_M1	0.87
170	P1_I9_M1	0.95
171	P1_I9_M1	0.86
172	P2_I6_M9	0.88
173	UNCLASSIFIED	NA
174	UNCLASSIFIED	NA
175	P1_I9_M1	0.89
176	P2_I6_M1	0.83
177	UNCLASSIFIED	NA
178	UNCLASSIFIED	NA
179	UNCLASSIFIED	NA
180	UNCLASSIFIED	NA
181	P1_I9_M2	0.94
182	P1_I9_M3	0.9
183	P1_I9_M3	0.86
184	P2_I6_M4	0.91
185	P1_I9_M1	0.93
186	P1_I9_M2	0.9
187	P2_I6_M6	0.92
188	UNCLASSIFIED	NA
189	P1_I9_M2	0.85
